conf,matched_queries,title,citation_count,code_url,pdf_url,authors,abstract
TAFFC2021,,Editorial: Transactions on Affective Computing - Affective Computing in the Times of Pandemics.,,,,Elisabeth André,
TAFFC2021,,Leveraging Affective Hashtags for Ranking Music Recommendations.,,,,"Eva Zangerle,Chih-Ming Chen,Ming-Feng Tsai,Yi-Hsuan Yang",
TAFFC2021,,Inter-Brain EEG Feature Extraction and Analysis for Continuous Implicit Emotion Tagging During Video Watching.,,,,"Yue Ding,Xin Hu,Zhenyi Xia,Yong-Jin Liu,Dan Zhang",
TAFFC2021,,Empirical Evidence Relating EEG Signal Duration to Emotion Classification Performance.,,,,"Eanes Torres Pereira,Herman Martins Gomes,Luciana Ribeiro Veloso,Moisés Roberto A. Mota",
TAFFC2021,,Feature Pooling of Modulation Spectrum Features for Improved Speech Emotion Recognition in the Wild.,,,,"Anderson R. Avila,Zahid Akhtar,João Felipe Santos,Douglas D. O'Shaughnessy,Tiago H. Falk",
TAFFC2021,,Bio-Inspired Deep Attribute Learning Towards Facial Aesthetic Prediction.,,,,"Mingliang Xu,Fuhai Chen,Lu Li,Chen Shen,Pei Lv,Bing Zhou,Rongrong Ji",
TAFFC2022,,Editorial: Transactions on Affective Computing - Another Year in the Shade of Covid-19.,,,,Elisabeth André,
TAFFC2021,,Introduction to the Special Issue On Computational Modelling of Emotion.,,,,"Celso de Melo,Dean Petters,Joel Parthemore,David C. Moffatt,Christian Becker-Asano",
TAFFC2021,,Towards a Prediction and Data Driven Computational Process Model of Emotion.,,,,Klaus R. Scherer,
TAFFC2022,,Affect Estimation in 3D Space Using Multi-Task Active Learning for Regression.,,,,"Dongrui Wu,Jian Huang",
TAFFC2021,,An Architecture for Emotional Facial Expressions as Social Signals.,,,,"Ruth Aylett,Christopher Ritter,Mei Yii Lim,Frank Broz,Peter E. McKenna,Ingo Keller,Gnanathusharan Rajendran",
TAFFC2021,,Applying Probabilistic Programming to Affective Computing.,,,,"Desmond C. Ong,Harold Soh,Jamil Zaki,Noah D. Goodman",
TAFFC2021,,A Hybrid Cognitive Architecture with Primal Affect and Physiology.,,,,Christopher L. Dancy,
TAFFC2022,,A Novel Sentiment Polarity Detection Framework for Chinese.,,,,"Tinghuai Ma,Huan Rong,Yongsheng Hao,Jie Cao,Yuan Tian,Mznah Al-Rodhaan",
TAFFC2021,,Embodied Robot Models for Interdisciplinary Emotion Research.,,,,Lola Cañamero,
TAFFC2022,,Utilizing Deep Learning Towards Multi-Modal Bio-Sensing and Vision-Based Affective Computing.,,,,"Siddharth,Tzyy-Ping Jung,Terrence J. Sejnowski",
TAFFC2022,,Regression Guided by Relative Ranking Using Convolutional Neural Network (R$^3$3CNN) for Facial Beauty Prediction.,,,,"Luojun Lin,Lingyu Liang,Lianwen Jin",
TAFFC2021,,Automatic Recognition of Facial Displays of Unfelt Emotions.,,,,"Kaustubh Kulkarni,Ciprian Adrian Corneanu,Ikechukwu Ofodile,Sergio Escalera,Xavier Baró,Sylwia Julia Hyniewska,Jüri Allik,Gholamreza Anbarjafari",
TAFFC2021,,On the Influence of Affect in EEG-Based Subject Identification.,,,,"Pablo Arnau-González,Miguel Arevalillo-Herráez,Stamos Katsigiannis,Naeem Ramzan",
TAFFC2022,,Micro and Macro Facial Expression Recognition Using Advanced Local Motion Patterns.,,,,"Benjamin Allaert,Ioan Marius Bilasco,Chaabane Djeraba",
TAFFC2023,,Editorial Transactions on Affective Computing-News on the Journal.,,,,Elisabeth André,
TAFFC2022,,On-the-Fly Facial Expression Prediction Using LSTM Encoded Appearance-Suppressed Dynamics.,,,,"Wissam J. Baddar,Sangmin Lee,Yong Man Ro",
TAFFC2021,,Brain Dynamics During Arousal-Dependent Pleasant/Unpleasant Visual Elicitation: An Electroencephalographic Study on the Circumplex Model of Affect.,,,,"Alberto Greco,Gaetano Valenza,Enzo Pasquale Scilingo",
