conf,matched_queries,title,citation_count,code_url,pdf_url,authors,abstract
TAFFC2020,,"Personalised, Multi-Modal, Affective State Detection for Hybrid Brain-Computer Music Interfacing.",,,,"Ian Daly,Duncan Williams,Asad Malik,James Weaver,Alexis Kirke,Faustina Hwang,Eduardo Reck Miranda,Slawomir J. Nasuto",
TAFFC2021,,Recognizing Induced Emotions of Movie Audiences from Multimodal Information.,,,,"Michal Muszynski,Leimin Tian,Catherine Lai,Johanna D. Moore,Theodoros Kostoulas,Patrizia Lombardo,Thierry Pun,Guillaume Chanel",
TAFFC2019,,Multimodal Human-Human-Robot Interactions (MHHRI) Dataset for Studying Personality and Engagement.,,,,"Oya Çeliktutan,Efstratios Skordos,Hatice Gunes",
TAFFC2022,,Multimodal Self-Assessed Personality Estimation During Crowded Mingle Scenarios Using Wearables Devices and Cameras.,,,,"Laura Cabrera Quiros,Ekin Gedik,Hayley Hung",
TAFFC2021,,Multimodal Classification of Stressful Environments in Visually Impaired Mobility Using EEG and Peripheral Biosignals.,,,,"Charalampos Saitis,Kyriaki Kalimeri",
TAFFC2022,,Utilizing Deep Learning Towards Multi-Modal Bio-Sensing and Vision-Based Affective Computing.,,,,"Siddharth,Tzyy-Ping Jung,Terrence J. Sejnowski",
TAFFC2021,,Integrating Deep and Shallow Models for Multi-Modal Depression Analysis - Hybrid Architectures.,,,,"Le Yang,Dongmei Jiang,Hichem Sahli",
TAFFC2022,,"Development and Cross-Cultural Evaluation of a Scoring Algorithm for the Biometric Attachment Test: Overcoming the Challenges of Multimodal Fusion with ""Small Data"".",,,,"Federico Parra,Stefan Scherer,Yannick Benezeth,Plamena Tsvetanova,Susana Tereno",
TAFFC2023,,A Multi-Modal Stacked Ensemble Model for Bipolar Disorder Classification.,,,,"Niloufar AbaeiKoupaei,Hussein Al Osman",
TAFFC2022,,Multimodal Deception Detection Using Real-Life Trial Data.,,,,"Mehmet Umut Sen,Verónica Pérez-Rosas,Berrin A. Yanikoglu,Mohamed Abouelenien,Mihai Burzo,Rada Mihalcea",
TAFFC2023,,Multimodal Spatiotemporal Representation for Automatic Depression Level Detection.,,,,"Mingyue Niu,Jianhua Tao,Bin Liu,Jian Huang,Zheng Lian",
TAFFC2022,,Multi-Fusion Residual Memory Network for Multimodal Human Sentiment Comprehension.,,,,"Sijie Mai,Haifeng Hu,Jia Xu,Songlong Xing",
TAFFC2021,,EmoBed: Strengthening Monomodal Emotion Recognition via Training with Crossmodal Emotion Embeddings.,,,,"Jing Han,Zixing Zhang,Zhao Ren,Björn W. Schuller",
TAFFC2021,,Task Load Estimation from Multimodal Head-Worn Sensors Using Event Sequence Features.,,,,"Siyuan Chen,Julien Epps",
TAFFC2021,,Multi-Modal Pain Intensity Recognition Based on the SenseEmotion Database.,,,,"Patrick Thiam,Viktor Kessler,Mohammadreza Amirian,Peter Bellmann,Georg Layher,Yan Zhang,Maria Velana,Sascha Gruss,Steffen Walter,Harald C. Traue,Daniel Schork,Jonghwa Kim,Elisabeth André,Heiko Neumann,Friedhelm Schwenker",
TAFFC2023,,UBFC-Phys: A Multimodal Database For Psychophysiological Studies of Social Stress.,,,,"Rita Meziati Sabour,Yannick Benezeth,Pierre De Oliveira,Julien Chappé,Fan Yang",
TAFFC2023,,Toward Automated Classroom Observation: Multimodal Machine Learning to Estimate CLASS Positive Climate and Negative Climate.,,,,"Anand Ramakrishnan,Brian Zylich,Erin Ottmar,Jennifer LoCasale-Crouch,Jacob Whitehill",
TAFFC2023,,A Deep Multimodal Learning Approach to Perceive Basic Needs of Humans From Instagram Profile.,,,,"Mohammad Mahdi Dehshibi,Bita Baiani,Gerard Pons,David Masip",
TAFFC2023,,Multimodal Hierarchical Attention Neural Network: Looking for Candidates Behaviour Which Impact Recruiter's Decision.,,,,"Léo Hemamou,Arthur Guillon,Jean-Claude Martin,Chloé Clavel",
TAFFC2022,,A Multimodal Non-Intrusive Stress Monitoring From the Pleasure-Arousal Emotional Dimensions.,,,,"Mohamed Dahmane,Jahangir Alam,Pierre-Luc St-Charles,Marc Lalonde,Kevin Heffner,Samuel Foucher",
TAFFC2023,,Multimodal Engagement Analysis From Facial Videos in the Classroom.,,,,"Ömer Sümer,Patricia Goldberg,Sidney D'Mello,Peter Gerjets,Ulrich Trautwein,Enkelejda Kasneci",
conf,matched_queries,title,citation_count,code_url,pdf_url,authors,abstract
IF2019,,Hierarchical multi-modal fusion FCN with attention model for RGB-D tracking.,,,,"Ming-Xin Jiang,Chao Deng,Jing-song Shan,Yuanyuan Wang,Yinjie Jia,Xing Sun",
