conf,matched_queries,title,citation_count,categories,concepts,code_url,pdf_url,authors,abstract
TAFFC2021,affective,Editorial: Transactions on Affective Computing - Affective Computing in the Times of Pandemics.,2,Personal Information Management and User Behavior,"Affective computing,Pandemic,Computer science,Internet privacy,Psychology,Computer security,Data science,Cognitive psychology,Human–computer interaction,Coronavirus disease 2019 (COVID-19),Medicine,Disease,Pathology,Infectious disease (medical specialty)",,,Elisabeth André,
TAFFC2023,affective,Editorial Transactions on Affective Computing-News on the Journal.,0,Personal Information Management and User Behavior,"Affective computing,Computer science,Data science,World Wide Web,Psychology,Internet privacy,Information retrieval,Cognitive science,Human–computer interaction",,,Elisabeth André,
TAFFC2022,affective,Editorial: Transactions on Affective Computing - Another Year in the Shade of Covid-19.,0,Mental Health Research Topics,"Coronavirus disease 2019 (COVID-19),Affective computing,2019-20 coronavirus outbreak,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Computer science,Psychology,Cognitive psychology,Data science,Artificial intelligence,Medicine,Virology,Disease,Pathology,Outbreak,Infectious disease (medical specialty)",,,Elisabeth André,
TAFFC2021,emotions,The Ordinal Nature of Emotions: An Emerging Approach.,102,"Advanced Text Analysis Techniques,Emotion and Mood Recognition,Rough Sets and Fuzzy Logic","Task (project management),Cognitive psychology,Computer science,Representation (politics),Value (mathematics),Preference,Class (philosophy),Artificial intelligence,Annotation,Psychology,Natural language processing,Machine learning,Mathematics,Statistics,Management,Politics,Political science,Law,Economics",,,"Georgios N. Yannakakis,Roddy Cowie,Carlos Busso",
TAFFC2023,affective,"Guest Editorial: Special Issue on Affective Speech and Language Synthesis, Generation, and Conversion.",3,"Emotion and Mood Recognition,Infant Health and Development,Speech Recognition and Synthesis","Speech synthesis,Speech recognition,Computer science,Psychology,Linguistics,Cognitive science,Natural language processing,Cognitive psychology,Philosophy",,,"Shahin Amiriparian,Björn W. Schuller,Nabiha Asghar,Heiga Zen,Felix Burkhardt",
TAFFC2024,affective,Guest Editorial: Ethics in Affective Computing.,0,"Ethics and Social Impacts of AI,Privacy, Security, and Data Protection,Innovative Human-Technology Interaction","Affective computing,Psychology,Computer science,Cognitive science,Human–computer interaction,Engineering ethics,Engineering",,,"Jonathan Gratch,Gretchen Greene,Rosalind W. Picard,Lachlan Urquhart,Michel F. Valstar",
TAFFC2021,emotions,Recognizing Induced Emotions of Movie Audiences from Multimodal Information.,63,"Emotion and Mood Recognition,Color perception and design,Music and Audio Processing","Perception,Psychology,Affect (linguistics),Content (measure theory),Affective computing,Cognitive psychology,Emotion recognition,Emotion perception,Task (project management),Discriminative model,Social psychology,Computer science,Communication,Artificial intelligence,Mathematical analysis,Mathematics,Management,Neuroscience,Economics",,,"Michal Muszynski,Leimin Tian,Catherine Lai,Johanna D. Moore,Theodoros Kostoulas,Patrizia Lombardo,Thierry Pun,Guillaume Chanel",
TAFFC2022,affect,Affect Estimation in 3D Space Using Multi-Task Active Learning for Regression.,28,"Emotion and Mood Recognition,Music and Audio Processing,Face and Expression Recognition","Machine learning,Artificial intelligence,Computer science,Task (project management),Affective computing,Regression,Affect (linguistics),Valence (chemistry),Sample (material),Selection (genetic algorithm),Mathematics,Statistics,Psychology,Engineering,Systems engineering,Communication,Physics,Chemistry,Chromatography,Quantum mechanics",,,"Dongrui Wu,Jian Huang",
conf,matched_queries,title,citation_count,categories,concepts,code_url,pdf_url,authors,abstract
IF2024,emotion,Online multi-hypergraph fusion learning for cross-subject emotion recognition.,3,"Emotion and Mood Recognition,Face and Expression Recognition,Human Pose and Action Recognition","Hypergraph,Computer science,Subject (documents),Artificial intelligence,Fusion,Emotion recognition,Natural language processing,Pattern recognition (psychology),Machine learning,World Wide Web,Mathematics,Linguistics,Combinatorics,Philosophy",,,"Tongjie Pan,Yalan Ye,Yangwuyong Zhang,Kunshu Xiao,Hecheng Cai",
IF2024,emotion,Emotion detection for misinformation: A review.,9,"Misinformation and Its Impacts,Sentiment Analysis and Opinion Mining,Spam and Phishing Detection","Misinformation,Computer science,Emotion detection,Artificial intelligence,Computer security,Emotion recognition",,,"Zhiwei Liu,Tianlin Zhang,Kailai Yang,Paul Thompson,Zeping Yu,Sophia Ananiadou",
IF2023,emotion,Emotion recognition from unimodal to multimodal analysis: A review.,55,"Emotion and Mood Recognition,Sentiment Analysis and Opinion Mining,EEG and Brain-Computer Interfaces","Multimodality,Modality (human–computer interaction),Computer science,Variety (cybernetics),Artificial intelligence,Multimodal learning,Field (mathematics),Multimodal therapy,Deep learning,Omnipresence,Human–computer interaction,Psychology,World Wide Web,Philosophy,Mathematics,Epistemology,Pure mathematics,Psychotherapist",,,"Kaouther Ezzameli,Hela Mahersia",
IF2023,emotions,"Human-centered neural reasoning for subjective content processing: Hate speech, emotions, and humor.",23,"Hate Speech and Cyberbullying Detection,Sentiment Analysis and Opinion Mining,Misinformation and Its Impacts","Computer science,Offensive,Natural language processing,Task (project management),Artificial intelligence,Representation (politics),Personalization,Quality (philosophy),Lexical diversity,Content (measure theory),Linguistics,Mathematical analysis,Philosophy,Mathematics,Management,Epistemology,Politics,World Wide Web,Political science,Law,Economics,Vocabulary",,,"Przemyslaw Kazienko,Julita Bielaniewicz,Marcin Gruza,Kamil Kanclerz,Konrad Karanowski,Piotr Milkowski,Jan Kocon",
